currency_name,currency_value
United Arab Emirates Dirham,"255,852.00"
Afghan Afghani,"4,389,060"
Albanian Lek,"5,775,230"
Armenian Dram,"26,299,400.00"
Netherlands Antillean Guilder,"124,711.00"
Angolan Kwanza,"63,884,700.00"
Argentine Peso,"97,229,900.00"
Australian Dollar,"99,094.30"
Aruban Florin,"125,575.00"
Azerbaijani Manat,"118,420.00"
Bosnia And Herzegovina Mark,"117,716.00"
Barbadian Dollar,"140,274.00"
Bangladeshi Taka,"8,546,060.00"
Bulgarian Lev,"119,082.00"
Bahraini Dinar,"26,320.200"
Burundian Franc,"206,161,000"
Bermudian Dollar,"69,667.00"
Brunei Dollar,"89,076.20"
Bolivian Boliviano,"481,281.00"
Brazilian Real,"369,075.00"
Bahamian Dollar,"69,653.10"
Bhutanese Ngultrum,"6,511,360.00"
Botswana Pula,"949,742.00"
Belarusian Ruble,"1,365,470,000"
Belize Dollar,"140,079.00"
Canadian Dollar,"95,736.40"
Congolese Franc,"158,492,000.00"
Swiss Franc,"55,009.10"
Chilean Peso,"64,106,900"
Chinese Yuan,"480,737.00"
Colombian Peso,"258,068,000.00"
Costa Rican Colon,"32,532,200.00"
Cuban Convertible Peso,"69,667.00"
Cuban Peso,"1,846,180.00"
Cape Verdean Escudo,"6,636,800.00"
Czech Koruna,"1,479,710.00"
Djiboutian Franc,"12,402,800"
Danish Krone,"451,115.00"
Dominican Peso,"4,134,350.00"
Algerian Dinar,"9,205,120.00"
Egyptian Pound,"3,639,340.00"
Eritrean Nakfa,"1,045,000.00"
Ethiopian Birr,"10,976,900.00"
Euro,"60,380.40"
Fijian Dollar,"154,445.00"
Falkland Islands Pound,"52,187.60"
British Pound,"52,319.90"
Georgian Lari,"189,146.00"
Ghana Cedi,"759,238.00"
Gibraltar Pound,"52,187.60"
Gambian Dalasi,"5,155,370.00"
Guinean Franc,"610,484,000"
Guatemalan Quetzal,"533,517.00"
Guyanese Dollar,"14,572,000.00"
Hong Kong Dollar,"545,771.00"
Honduran Lempira,"1,843,510.00"
Croatian Kuna,"455,058.00"
Haitian Gourde,"9,137,220.00"
Hungarian Forint,"23,744,400.00"
Indonesian Rupiah,"1,181,420,000.00"
Israeli New Shekel,"217,298.00"
Manx Pound,"52,187.60"
Indian Rupee,"6,532,970.00"
Iraqi Dinar,"91,239,800"
Iranian Rial,"69,667,000,000"
Icelandic Krona,"8,682,590"
Jersey Pound,"52,187.60"
Jamaican Dollar,"10,942,400.00"
Jordanian Dinar,"49,393.900"
Japanese Yen,"11,084,600"
Kenyan Shilling,"9,023,250.00"
Kyrgyzstani Som,"6,092,230.00"
Cambodian Riel,"278,319,000.00"
Comorian Franc,"29,817,500"
North Korean Won,"62,696,900"
South Korean Won,"104,814,000"
Kuwaiti Dinar,"21,352.900"
Cayman Islands Dollar,"58,039.60"
Kazakhstani Tenge,"33,485,000.00"
Lao Kip,"1,495,660,000"
Lebanese Pound,"6,237,730,000"
Sri Lankan Rupee,"21,727,000.00"
Liberian Dollar,"12,745,600.00"
Lesotho Loti,"1,174,930.00"
